Date,Open,High,Low,Close,Adj Close,Volume
2015-07-17,46.549999,46.779999,46.259998,46.619999,42.192226,29467100
2015-07-20,46.650002,47.130001,46.439999,46.919998,42.463726,30631900
2015-07-21,46.779999,47.330002,46.480000,47.279999,42.789539,42781900
2015-07-22,45.439999,46.930000,45.200001,45.540001,41.214806,59152400
2015-07-23,45.270000,46.230000,45.099998,46.110001,41.730663,33934000
2015-07-24,45.910000,46.320000,45.799999,45.939999,41.576809,32333200
2015-07-27,45.939999,46.009998,45.250000,45.349998,41.042835,39701400
2015-07-28,45.580002,45.639999,44.790001,45.340000,41.033791,34328900
2015-07-29,45.400002,46.779999,45.259998,46.290001,41.893566,40945900
2015-07-30,46.259998,47.400002,45.930000,46.880001,42.427528,39777900
2015-07-31,47.290001,47.369999,46.500000,46.700001,42.264629,31201500
2015-08-03,46.980000,47.000000,46.450001,46.810001,42.364178,24125900
2015-08-04,46.750000,47.709999,46.680000,47.540001,43.024837,33403900
2015-08-05,47.980000,48.410000,47.540001,47.580002,43.061050,26959700
2015-08-06,47.709999,47.770000,46.330002,46.619999,42.192226,27368000
2015-08-07,46.389999,46.779999,46.259998,46.740002,42.300831,19163000
2015-08-10,46.950001,47.490002,46.840000,47.330002,42.834789,23079900
2015-08-11,46.820000,46.939999,45.900002,46.410000,42.002174,29237400
2015-08-12,46.189999,46.900002,45.709999,46.740002,42.300831,30181400
2015-08-13,47.060001,47.099998,46.490002,46.730000,42.291790,22627200
2015-08-14,46.529999,47.099998,46.520000,47.000000,42.536140,21473400
2015-08-17,46.810001,47.450001,46.570000,47.320000,42.825741,21099700
2015-08-18,46.840000,47.430000,46.700001,47.270000,43.062599,23574100
2015-08-19,46.779999,47.080002,46.299999,46.610001,42.461342,31485500
2015-08-20,46.070000,46.470001,45.660000,45.660000,41.595905,36238200
2015-08-21,45.299999,45.480000,43.070000,43.070000,39.236439,70053100
2015-08-24,40.450001,42.689999,39.720001,41.680000,37.970146,88753700
2015-08-25,42.570000,43.240002,40.389999,40.470001,36.867855,70616600
2015-08-26,42.009998,42.840000,41.060001,42.709999,38.908478,63408000
2015-08-27,43.230000,43.950001,42.930000,43.900002,39.992554,50943200
2015-08-28,43.400002,44.150002,43.389999,43.930000,40.019890,28246700
2015-08-31,43.560001,43.930000,43.099998,43.520000,39.646370,34441700
2015-09-01,42.169998,42.590000,41.660000,41.820000,38.097694,49688900
2015-09-02,42.360001,43.380001,41.880001,43.360001,39.500618,37671500
